21:44:01 scanner.py - DEBUG: Received 4F:70:18:E5:D5:8E: Unknown.
21:44:01 scanner.py - DEBUG: Received 4F:70:18:E5:D5:8E: Unknown.
21:44:01 scanner.py - DEBUG: Received 14:6D:53:F1:AB:A7: Unknown.
21:44:01 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: Unknown.
21:44:01 scanner.py - DEBUG: Received 49:47:1A:65:89:6F: Unknown.
21:44:01 scanner.py - DEBUG: Received 49:47:1A:65:89:6F: Unknown.
21:44:01 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:44:01 scanner.py - DEBUG: Received 32:24:A9:BA:72:47: Unknown.
21:44:01 scanner.py - DEBUG: Received A0:D0:5B:8D:BA:CC: Unknown.
21:44:01 scanner.py - DEBUG: Received 65:DC:76:1F:34:20: Unknown.
21:44:01 scanner.py - DEBUG: Received 65:DC:76:1F:34:20: Unknown.
21:44:01 scanner.py - DEBUG: Received 44:5C:E9:84:13:F7: Unknown.
21:44:01 scanner.py - DEBUG: Received 66:DD:9F:98:7C:D3: Unknown.
21:44:01 scanner.py - DEBUG: Received 66:DD:9F:98:7C:D3: Unknown.
21:44:01 scanner.py - DEBUG: Received B2:22:7A:8F:41:02: Unknown.
21:44:01 scanner.py - DEBUG: Received 18:B5:8D:75:DF:3E: Unknown.
21:44:01 scanner.py - DEBUG: 21 devices found. Watcher status: 3.
21:44:01 scanner.py - DEBUG: Received 4C:C4:65:FD:4D:A2: Unknown.
21:44:01 scanner.py - DEBUG: Received 4C:C4:65:FD:4D:A2: Unknown.
21:44:01 scanner.py - DEBUG: Received 19:96:8E:77:5C:77: Unknown.
