exmaID,questionID,question,response,tsStamp,pulse,skin_conductivity,respiration_belt,blood_pressure,ML_Prediction,ML_Accuracy,actual_ans,i
7,3,"Is temple playing?",,71.003615,,0,6.442436218261719,,null,null,false,548
7,3,"Is temple playing?",,71.995343,,0,10.660743713378906,,null,null,false,549
7,3,"Is temple playing?",,73.003932,,0,8.448112487792969,,null,null,false,550
7,3,"Is temple playing?",,73.996548,,0,7.0786285400390625,,null,null,false,551
7,3,"Is temple playing?",,74.990194,,0,13.69863510131836,,null,null,false,552
7,3,"Is temple playing?",,76.003079,,0,6.488426208496094,,null,null,false,553
7,3,"Is temple playing?",,77.00102,,0,8.864578247070312,,null,null,false,554
7,3,"Is temple playing?",,77.999717,,0,9.449668884277344,,null,null,false,555
7,3,"Is temple playing?",,78.998371,,0,11.33270263671875,,null,null,false,556
7,3,"Is temple playing?",,80.005745,,0,25.196136474609375,,null,null,false,557
7,3,"Is temple playing?",,80.99737,,0,20.047809600830078,,null,null,false,558
7,3,"Is temple playing?",,81.990029,,0,7.855354309082031,,null,null,false,559
7,3,"Is temple playing?",,82.987809,,0,7.8068084716796875,,null,null,false,560
7,3,"Is temple playing?",,84.015266,,0,11.220283508300781,,null,null,false,561
7,3,"Is temple playing?",,84.993903,,0,7.740379333496094,,null,null,false,562
7,3,"Is temple playing?",,85.990789,,0,11.028663635253906,,null,null,false,563
7,3,"Is temple playing?",,87.008654,,0,7.4107818603515625,,null,null,false,564
7,3,"Is temple playing?",,87.998667,,0,11.309707641601562,,null,null,false,565
7,3,"Is temple playing?",,88.995203,,0,7.229377746582031,,null,null,false,566
7,3,"Is temple playing?",,90.031474,,0,10.650520324707031,,null,null,false,567
7,3,"Is temple playing?",,90.989671,,0,8.478767395019531,,null,null,false,568
7,3,"Is temple playing?",,91.996698,,0,18.36917495727539,,null,null,false,569
7,3,"Is temple playing?",,93.032147,,0,26.402095794677734,,null,null,false,570
7,3,"Is temple playing?",,93.993815,,0,11.820709228515625,,null,null,false,571
7,3,"Is temple playing?",,94.992582,,0,6.54974365234375,,null,null,false,572
7,3,"Is temple playing?",,95.988887,,0,11.089981079101562,,null,null,false,573
7,3,"Is temple playing?",,96.981382,,0,7.863014221191406,,null,null,false,574
7,3,"Is temple playing?",,98.002951,,0,9.434341430664062,,null,null,false,575
7,3,"Is temple playing?",,99.023871,,0,8.780258178710938,,null,null,false,576
7,3,"Is temple playing?",,100.003573,,0,9.981109619140625,,null,null,false,577
7,3,"Is temple playing?",,101.013646,,0,8.836471557617188,,null,null,false,578
7,3,"Is temple playing?",,102.001932,,0,10.032211303710938,,null,null,false,579
7,3,"Is temple playing?",,102.991377,,0,10.203399658203125,,null,null,false,580
7,3,"Is temple playing?",,104.009855,,0,9.066421508789062,,null,null,false,581
7,3,"Is temple playing?",,104.996093,,0,6.8997802734375,,null,null,false,582
7,3,"Is temple playing?",,105.989579,,0,9.117523193359375,,null,null,false,583
7,3,"Is temple playing?",,107.002203,,0,5.527748107910156,,null,null,false,584
7,3,"Is temple playing?",,107.987456,,0,9.664291381835938,,null,null,false,585
7,3,"Is temple playing?",,109.00594,,0,23.619701385498047,,null,null,false,586
7,3,"Is temple playing?",,110.007442,,0,26.672924041748047,,null,null,false,587
7,3,"Is temple playing?",,111.021965,,0,14.023120880126953,,null,null,false,588
7,3,"Is temple playing?",,111.996689,,0,6.227813720703125,,null,null,false,589
7,3,"Is temple playing?",,112.996027,,0,7.111846923828125,,null,null,false,590
7,3,"Is temple playing?",,114.031788,,0,11.207511901855469,,null,null,false,591
7,3,"Is temple playing?",,114.998062,,0,8.241157531738281,,null,null,false,592
7,3,"Is temple playing?",,118.364357,,0,10.162513732910156,,null,null,false,593
7,3,"Is temple playing?",,118.364454,,0,9.958114624023438,,null,null,false,594
7,3,"Is temple playing?",,118.364533,,0,8.869682312011719,,null,null,false,595
7,4,"Is today Friday?",,118.979916,,0,11.368476867675781,,null,null,false,596
7,4,"Is today Friday?",,119.998696,,0,7.709716796875,,null,null,false,597
7,4,"Is today Friday?",,121.004005,,0,11.943351745605469,,null,null,false,598
7,4,"Is today Friday?",,121.999707,,0,10.532989501953125,,null,null,false,599
7,4,"Is today Friday?",,122.999369,,0,7.633064270019531,,null,null,false,600
7,4,"Is today Friday?",,123.992414,,0,12.367477416992188,,null,null,false,601
7,4,"Is today Friday?",,124.993966,,0,6.856346130371094,,null,null,false,602
7,4,"Is today Friday?",,125.989342,,0,11.409355163574219,,null,null,false,603
7,4,"Is today Friday?",,126.982109,,0,7.972877502441406,,null,null,false,604
7,4,"Is today Friday?",,127.99406,,0,9.516098022460938,,null,null,false,605
7,4,"Is today Friday?",,128.993716,,0,9.863578796386719,,null,null,false,606
7,4,"Is today Friday?",,129.992158,,0,3.2972335815429688,,null,null,false,607
7,4,"Is today Friday?",,131.000091,,0,14.41659164428711,,null,null,false,608
7,4,"Is today Friday?",,131.999324,,0,17.702320098876953,,null,null,false,609
7,4,"Is today Friday?",,132.997998,,0,8.747047424316406,,null,null,false,610
7,4,"Is today Friday?",,133.997391,,0,13.261730194091797,,null,null,false,611
7,4,"Is today Friday?",,134.99373,,0,6.1690521240234375,,null,null,false,612
7,4,"Is today Friday?",,135.997436,,0,15.668540954589844,,null,null,false,613
7,4,"Is today Friday?",,136.996947,,0,14.843276977539062,,null,null,false,614
7,4,"Is today Friday?",,137.993525,,0,8.504318237304688,,null,null,false,615
7,4,"Is today Friday?",,138.983863,,0,11.470672607421875,,null,null,false,616
7,4,"Is today Friday?",,139.983197,,0,12.06854248046875,,null,null,false,617
7,4,"Is today Friday?",,141.003209,,0,8.800697326660156,,null,null,false,618
7,4,"Is today Friday?",,142.006589,,0,11.9407958984375,,null,null,false,619
7,4,"Is today Friday?",,143.019108,,0,7.755706787109375,,null,null,false,620
7,4,"Is today Friday?",,143.997146,,0,10.936683654785156,,null,null,false,621
7,4,"Is today Friday?",,144.998344,,0,9.426673889160156,,null,null,false,622
7,4,"Is today Friday?",,146.016503,,0,7.799140930175781,,null,null,false,623
7,4,"Is today Friday?",,147.014568,,0,12.150306701660156,,null,null,false,624
7,4,"Is today Friday?",,147.990973,,0,8.833915710449219,,null,null,false,625
7,4,"Is today Friday?",,148.983493,,0,10.509994506835938,,null,null,false,626
7,4,"Is today Friday?",,149.990701,,0,24.023391723632812,,null,null,false,627
7,4,"Is today Friday?",,151.000461,,0,31.736934661865234,,null,null,false,628
7,4,"Is today Friday?",,152.001238,,0,18.46115493774414,,null,null,false,629
7,4,"Is today Friday?",,153.000773,,0,8.591194152832031,,null,null,false,630
7,4,"Is today Friday?",,154.006202,,0,9.574867248535156,,null,null,false,631
7,4,"Is today Friday?",,154.989692,,0,12.587211608886719,,null,null,false,632
7,4,"Is today Friday?",,155.997583,,0,9.582527160644531,,null,null,false,633
7,4,"Is today Friday?",,156.994103,,0,12.433914184570312,,null,null,false,634
7,4,"Is today Friday?",,157.98571,,0,8.828804016113281,,null,null,false,635
7,4,"Is today Friday?",,158.984342,,0,12.349594116210938,,null,null,false,636
7,4,"Is today Friday?",,159.985725,,0,9.625968933105469,,null,null,false,637
7,4,"Is today Friday?",,161.030017,,0,9.82525634765625,,null,null,false,638
7,4,"Is today Friday?",,161.994803,,0,8.128738403320312,,null,null,false,639
7,4,"Is today Friday?",,162.990319,,0,8.422561645507812,,null,null,false,640
7,4,"Is today Friday?",,164.017071,,0,9.043426513671875,,null,null,false,641
7,4,"Is today Friday?",,164.997195,,0,6.958549499511719,,null,null,false,642
7,4,"Is today Friday?",,165.988067,,0,12.007225036621094,,null,null,false,643
7,4,"Is today Friday?",,167.024926,,0,6.743927001953125,,null,null,false,644
7,4,"Is today Friday?",,167.988062,,0,9.807373046875,,null,null,false,645
7,4,"Is today Friday?",,172.355531,,0,7.847686767578125,,null,null,false,646
7,4,"Is today Friday?",,172.355663,,0,15.865276336669922,,null,null,false,647
